Aerodrome warning for station VABB for October 2025
Sl. No.,Elements (Thunderstorm/Surface wind & Gust),Warning issue Time,true-1 / false-0,Remarks,Station,Validity From,Validity To,Accuracy_Percentage,Warning_Type
1,Gust warning,02/0400,1,Gust 22KT Dir 180 matched,VABB,020430Z,020830Z,100%,Wind
2,Gust warning,02/0800,1,Gust 19KT Dir 190 matched FEW030CB found,VABB,020830Z,021230Z,100%,Wind
3,Gust warning,02/1200,1,Gust 19KT Dir 190 matched FEW030CB found,VABB,021230Z,021630Z,100%,Wind
4,Thunderstorm warning,02/1200,1, FEW030CB found,VABB,021230Z,021630Z,100%,Thunderstorm
5,Gust warning,02/1700,0,No gust/direction mismatch,VABB,021730Z,022130Z,0%,Wind
6,Gust warning,02/2100,0,No gust/direction mismatch,VABB,022130Z,030130Z,0%,Wind
7,Gust warning,03/0230,1,Gust 21KT Dir 180 matched,VABB,030300Z,030700Z,100%,Wind
8,Gust warning,04/0400,1,Gust 23KT Dir 190 matched,VABB,040430Z,040830Z,100%,Wind
9,Gust warning,06/0730,1,Gust 22KT Dir 220 matched,VABB,060800Z,061200Z,100%,Wind
10,Gust warning,08/0845,1,Gust 17KT Dir 310 matched,VABB,080900Z,081330Z,100%,Wind
11,Gust warning,15/1530,1,OBS,VABB,151530Z,151930Z,100%,Wind
12,Gust warning,16/1200,0,No gust/direction mismatch,VABB,161230Z,161630Z,0%,Wind
12,Thunderstorm warning,16/1200,1, FEW030CB found,VABB,161230Z,161630Z,100%,Thunderstorm
13,Gust warning,21/1100,0,No gust/direction mismatch,VABB,211130Z,211530Z,0%,Wind
13,Thunderstorm warning,21/1100,1, FEW030CB found,VABB,211130Z,211530Z,100%,Thunderstorm
14,Gust warning,22/1230,0,No gust/direction mismatch,VABB,221300Z,221700Z,0%,Wind
14,Thunderstorm warning,22/1230,0,Missing CB or direction mismatch,VABB,221300Z,221700Z,0%,Thunderstorm
15,Gust warning,23/1415,1,OBS,VABB,231400Z,231830Z,100%,Wind
15,Thunderstorm warning,23/1415,1,OBS,VABB,231400Z,231830Z,100%,Thunderstorm
16,Thunderstorm warning,23/1745,1, FEW030CB found,VABB,231800Z,232230Z,100%,Thunderstorm
17,Gust warning,24/0515,1,Gust 20KT Dir 100 matched,VABB,240530Z,240930Z,100%,Wind
18,Gust warning,24/1330,0,No gust/direction mismatch,VABB,241400Z,241800Z,0%,Wind
18,Thunderstorm warning,24/1330,1, FEW030CB found,VABB,241400Z,241800Z,100%,Thunderstorm
19,Gust warning,24/1730,0,No gust/direction mismatch,VABB,241800Z,242200Z,0%,Wind
19,Thunderstorm warning,24/1730,0,Missing CB or direction mismatch,VABB,241800Z,242200Z,0%,Thunderstorm
20,Gust warning,25/0615,1,Gust 19KT Dir 190 matched FEW030CB found,VABB,250630Z,251100Z,100%,Wind
21,Gust warning,25/0730,0,No gust/direction mismatch,VABB,250800Z,251200Z,0%,Wind
21,Thunderstorm warning,25/0730,1, FEW030CB found,VABB,250800Z,251200Z,100%,Thunderstorm
22,Gust warning,25/1130,1,Gust 18KT Dir 200 matched FEW030CB found,VABB,251200Z,251600Z,100%,Wind
22,Thunderstorm warning,25/1130,1, FEW030CB found,VABB,251200Z,251600Z,100%,Thunderstorm
23,Gust warning,26/0600,1,Gust 19KT Dir 140 matched FEW030CB found,VABB,260630Z,261030Z,100%,Wind
24,Thunderstorm warning,26/0830,1, FEW030CB found,VABB,260900Z,261300Z,100%,Thunderstorm
25,Gust warning,26/1000,0,No gust/direction mismatch,VABB,261030Z,261430Z,0%,Wind
26,Gust warning,26/1230,0,No gust/direction mismatch,VABB,261300Z,261700Z,0%,Wind
26,Thunderstorm warning,26/1230,1, FEW030CB found,VABB,261300Z,261700Z,100%,Thunderstorm
27,Gust warning,26/1630,0,No gust/direction mismatch,VABB,261700Z,262100Z,0%,Wind
27,Thunderstorm warning,26/1630,1, FEW030CB found,VABB,261700Z,262100Z,100%,Thunderstorm
28,Gust warning,26/2045,0,No gust/direction mismatch,VABB,262100Z,270130Z,0%,Wind
29,Gust warning,27/0400,1,Gust 22KT Dir 180 matched,VABB,270430Z,270830Z,100%,Wind
30,Gust warning,27/0800,1,Gust 26KT Dir 170 matched FEW030CB found,VABB,270830Z,271230Z,100%,Wind
31,Gust warning,27/1200,1,Gust 20KT Dir 210 matched FEW030CB found,VABB,271230Z,271630Z,100%,Wind
32,Gust warning,27/1600,1,Gust 21KT Dir 140 matched,VABB,271630Z,272030Z,100%,Wind
33,Gust warning,28/1130,1,Gust 22KT Dir 150 matched FEW030CB found,VABB,281200Z,281600Z,100%,Wind
33,Thunderstorm warning,28/1130,1, FEW030CB found,VABB,281200Z,281600Z,100%,Thunderstorm
34,Gust warning,28/1530,1,Gust 22KT Dir 150 matched,VABB,281600Z,282000Z,100%,Wind
34,Thunderstorm warning,28/1530,0,Missing CB or direction mismatch,VABB,281600Z,282000Z,0%,Thunderstorm
35,Gust warning,28/1945,1,Gust 21KT Dir 150 matched,VABB,282000Z,290000Z,100%,Wind
36,Gust warning,29/0015,0,No gust/direction mismatch,VABB,290030Z,290430Z,0%,Wind
37,Gust warning,29/0545,1,Gust 19KT Dir 190 matched,VABB,290600Z,291030Z,100%,Wind
39,Gust warning,29/1345,1,Gust 21KT Dir 160 matched,VABB,291400Z,291830Z,100%,Wind
40,Gust warning,29/1800,1,Gust 20KT Dir 170 matched,VABB,291800Z,292230Z,100%,Wind
41,Gust warning,29/2130,0,No gust/direction mismatch,VABB,292200Z,300200Z,0%,Wind
42,Gust warning,30/0200,0,No gust/direction mismatch,VABB,300230Z,300630Z,0%,Wind
43,Gust warning,30/0930,1,Gust 18KT Dir 170 matched,VABB,301000Z,301400Z,100%,Wind
44,Gust warning,30/1330,1,Gust 18KT Dir 180 matched,VABB,301400Z,301800Z,100%,Wind
45,Gust warning,30/2130,1,Gust 17KT Dir 140 matched FEW030CB found,VABB,302200Z,310200Z,100%,Wind
46,Gust warning,31/0130,1,Gust 17KT Dir 160 matched FEW030CB found,VABB,310200Z,310600Z,100%,Wind
46,Thunderstorm warning,31/0130,1, FEW030CB found,VABB,310200Z,310600Z,100%,Thunderstorm
47,Gust warning,31/0530,1,Gust 18KT Dir 160 matched FEW030CB found,VABB,310600Z,311000Z,100%,Wind
48,Gust warning,31/1630,1,OBS,VABB,311630Z,312030Z,100%,Wind
49,Gust warning,31/2145,1,OBS,VABB,312130Z,010200Z,100%,Wind
