TIME 	WIND	TEMP	QFE 	QNH
0000Z 000/00KT	28	1008	1009
0100Z	070/04KT	28	1008	1009
0200Z	090/04KT        29	1009	1010
0300Z	110/05KT	29	1009	1010
0400Z   130/05KT	29	1010	1011
0500Z	030/05KT	30	1010	1011
0600Z	270/10KT 	31	1009	1010
0700Z	290/08KT	32	1008	1009
0800Z	300/10KT	33	1007	1008
0900Z	290/12KT	33	1007	1008
1000Z   280/12KT	32	1006	1007
1100Z	290/12KT	32	1006	1007
1200Z	300/11KT	31	1006	1007
1300Z	290/10KT	29	1006	1007
1400Z	290/08KT	29	1007	1008
1500Z	290/08KT	29	1007	1008
1600Z	320/07KT	28	1008	1009
1700Z	320/07KT	28	1008	1009
1800Z	320/06KT	28	1008	1009
1900Z	300/05KT	28	1007	1008
2000Z	300/05KT	28	1007	1008
2100Z	300/05KT	28	1006	1007
2200Z	310/05KT	28	1006	1007
2300Z	310/05KT	27	1006	1007
2
0000Z   35005KT	        27	1007	1008
0100Z	32005KT	        27	1007	1008
0200Z	32005KT	        28	1008	1009
0300Z	29005KT	        29	1008	1009
0400Z   29008KT	        29	1009	1010
0500Z	29009KT	        29	1009	1010
0600Z	32009KT	        30	1008	1009
0700Z	30008KT	        31	1008	1009
0800Z	28007G17KT	31	1007	1008
0900Z	29008G18KT	31	1006	1007
1000Z   30012KT	        30	1007	1008
1100Z	30007G17KT	30	1006	1007
1200Z	29012KT	        29	1006	1007
1300Z	310/08KT	29	1007	1008
1400Z	320/07KT	29	1007	1008
1500Z	330/07KT	29	1008	1009
1600Z	320/08KT        28	1008	1009
1700Z	320/06KT	28	1009	1010
1800Z	340/06KT	28	1009	1010
1900Z	330/05KT	28	1008	1009
2000Z	330/05KT	28	1007	1008
2100Z	020/05KT	27	1007	1008
2200Z   340/03KT  	28	1006	1007
2300Z	020/04KT  	28	1006	1007
3
0000Z   290/05KT        27	1006	1007
0100Z	280/05KT        27	1007	1008
0200Z   300/04KT        27	1007	1008
0300Z	290/06KT        28	1008	1009
0400Z   280/06KT	29	1008	1009
